nuc_rRNA,nuc_RP,nuc_pol,nuc_AARS,nuc_tRNA,minV_R,minV_H,minV_G,Ntotal_R,Ntotal_H,Ntotal_D,ribo_R,pol_R,ribo_H,pol1_H,pol2_H,ribo_D,pol1_D,pol2_D
4468,6556,1617,0,0,4.02058073610779,4.56338194928837,6.76259876570827,36,54,62,5,6,5,7,7,5,11,11
4266,8390,1612,0,0,4.55400177698824,5.09278009626606,7.53603551189992,36,52,61,5,6,5,6,6,5,10,11
4493,7261,1536,0,0,4.23086325090524,4.74603709304652,7.02881687668344,36,54,62,5,6,5,7,7,5,11,11
4307,7671,1731,0,0,4.37170517470056,4.95079765934643,7.3310088467985,36,52,61,5,6,5,6,6,5,10,11
4090,6991,1606,0,0,4.04354094941828,4.58162930727321,6.78479017105704,36,53,61,5,6,5,6,7,5,10,11
4482,7883,1621,0,0,4.45767332605907,5.00046287696162,7.40318684332763,36,53,62,5,6,5,6,7,5,11,11
4055,7185,1581,0,0,4.08784126761136,4.61693526306184,6.83629533570357,36,53,61,5,6,5,6,7,5,10,11
4105,6879,1706,0,0,4.0444807267003,4.61543380176973,1.3674169451783,36,53,12,5,6,5,6,7,1,2,2
4070,8302,1539,0,0,4.44192987773004,4.95605723542808,7.3322271159344,36,52,61,5,6,5,6,6,5,10,11
4266,7334,1659,0,0,4.22597014845243,4.78138561838798,7.08093570018976,36,53,61,5,6,5,6,7,5,10,11
4072,7471,1532,0,0,4.16988453797014,4.68240682936998,6.93136017192768,36,53,62,5,6,5,6,7,5,11,11
4273,8291,1776,0,0,4.57776155181931,5.17111968082239,1.53087497012477,36,52,12,5,6,5,6,6,1,2,2
4010,7425,1790,0,0,4.22075433399377,4.81874735658268,1.42716585625963,36,52,12,5,6,5,6,6,1,2,2
4159,6127,1586,0,0,3.77694448441452,4.3090126190157,6.38620368922145,36,54,62,5,6,5,7,7,5,11,11
